,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kijang,KR,60.8,broken clouds,35.2442,129.2139,Samyang Beach Villa
1,Kaitangata,NZ,64.0,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
2,New Norfolk,AU,64.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Bluff,NZ,62.01,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
26,Castro,BR,64.29,light rain,-24.7911,-50.0119,CHACARA BAILLY
27,El Dorado,US,66.0,clear sky,38.7666,-120.5177,Bridal Veil Campground
37,Port Alfred,ZA,61.34,light rain,-33.5906,26.891,The Halyards Hotel
46,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
56,Ponta Do Sol,PT,64.4,broken clouds,32.6667,-17.1,Hotel do Campo
59,Vallenar,CL,66.2,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
61,Mar Del Plata,AR,61.0,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
62,Hobart,AU,64.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
66,Cape Town,ZA,62.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
67,Saint George,US,68.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Lompoc,US,62.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
90,Mataura,NZ,62.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
103,Asfi,MA,62.69,overcast clouds,32.2994,-9.2372,Hôtel Abda
105,Codrington,AU,66.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
108,Katsuura,JP,66.99,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
118,Ribeira Grande,PT,60.4,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
119,Necochea,AR,61.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
131,East London,ZA,63.46,light rain,-33.0153,27.9116,Tu Casa
140,Ocampo,MX,65.3,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
149,Arona,ES,64.99,few clouds,28.0996,-16.680999999999997,Paradise Court
151,Praia Da Vitoria,PT,60.01,broken clouds,38.7333,-27.0667,Hotel Branco I
152,Whyalla,AU,69.8,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
157,Hamilton,US,64.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
158,Guaraniacu,BR,66.76,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
168,Santa Cruz,BO,68.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
171,Praia,CV,68.0,scattered clouds,14.9215,-23.5087,LT Aparthotel
176,Chuy,UY,66.88,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
183,San Quintin,MX,61.05,clear sky,30.4833,-115.95,Old Mill Hotel
210,Nador,MA,60.8,overcast clouds,35.174,-2.9287,Hôtel La Giralda
216,Hasaki,JP,70.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
225,Kurali,IN,68.0,few clouds,30.8315,76.5785,Hotel Tanveer
238,Praya,CV,68.0,scattered clouds,14.9215,-23.5087,LT Aparthotel
239,Tomatlan,MX,68.22,overcast clouds,19.9333,-105.25,Norma franco
250,Luangwa,ZM,69.64,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
255,Xiangfan,CN,67.41,clear sky,32.0422,112.1448,Xiangyang Wanda Crowne Plaza
266,Sao Filipe,CV,69.31,clear sky,14.8961,-24.4956,Tortuga B&B
270,Yantzaza,EC,67.64,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
279,Kaeo,NZ,69.01,overcast clouds,-35.1,173.7833,Bushido Lodge
287,Coromoro,CO,62.85,overcast clouds,6.2946,-73.0402,Villa Lucía
302,San Juan,AR,64.24,clear sky,-31.5375,-68.5364,Hotel Provincial
322,Richards Bay,ZA,69.73,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
337,Guerrero Negro,MX,64.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
344,Te Anau,NZ,66.9,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
345,Faro,PT,62.6,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
346,Tuatapere,NZ,62.01,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
369,Frederick,US,64.4,clear sky,39.4668,-77.3997,Hampton Inn & Suites Frederick-Fort Detrick
370,Tocopilla,CL,67.42,few clouds,-22.092,-70.1979,Hotel Galvarino
381,Moron,AR,66.99,overcast clouds,-34.6534,-58.6198,Hotel Morón
396,Miguel Calmon,BR,66.06,broken clouds,-11.4289,-40.595,Pousada Guiomar
402,Portland,US,64.4,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
403,Santa Fe,AR,60.01,clear sky,-31.6333,-60.7,Conquistador Hotel
423,Dunedin,NZ,66.99,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
433,Virginia Beach,US,61.0,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
444,Kutum,SD,61.05,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
450,Port Shepstone,ZA,66.38,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
456,Aguimes,ES,64.99,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
458,Batemans Bay,AU,69.01,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
474,Najran,SA,66.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
479,Mount Gambier,AU,62.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
497,Ahipara,NZ,67.33,light rain,-35.1667,173.1667,Ahipara Holiday Park
504,Molina,CL,64.4,few clouds,-35.1167,-71.2833,Hostal Pucará
507,Broken Hill,AU,68.0,few clouds,-31.95,141.4333,Royal Exchange Hotel
510,Upata,VE,69.93,broken clouds,8.0086,-62.3989,Posada Villa Nela
513,Rawson,AR,68.0,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
517,Rio De Oro,CO,63.61,overcast clouds,8.2919,-73.3849,Hotel Sinarote
522,Pishin,PK,63.84,clear sky,30.5803,66.9961,City Hotel Pishin
523,Teguise,ES,64.4,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
525,Panzhihua,CN,69.75,clear sky,26.5851,101.7128,Electric Power Hotel
540,Menongue,AO,60.31,broken clouds,-14.6585,17.691,Ritz Lauca
547,Tetela De Ocampo,MX,65.66,clear sky,19.8167,-97.8,Campo Real
551,Cuamba,MZ,66.99,broken clouds,-14.8031,36.5372,Hotel Vision
559,Diego De Almagro,CL,61.97,overcast clouds,-26.3667,-70.05,hotel luna del desierto
564,Muleba,TZ,63.77,overcast clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
565,Maneadero,MX,62.01,clear sky,31.7167,-116.5667,Casa De Thompson
566,Dakar,SN,66.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
570,Puerto Del Rosario,ES,64.4,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
584,Capitan Meza,PY,68.0,heavy intensity rain,-27.0167,-55.5667,Hotel Restaurant Papillon
592,Port Lincoln,AU,67.46,clear sky,-34.7333,135.8667,Port Lincoln Hotel
606,Nchelenge,ZM,66.15,light rain,-9.3451,28.734,KD Travellers Home
619,Los Llanos De Aridane,ES,64.4,clear sky,28.6585,-17.9182,Valle Aridane
627,Elizabethtown,US,62.6,clear sky,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
630,Hukuntsi,BW,63.86,clear sky,-24.0,21.75,Entabeni Hotel
632,Bilma,NE,65.25,clear sky,18.6853,12.9164,Expeditions Ténére voyages
659,Grenfell,AU,69.73,clear sky,-33.9,148.1667,Grenfell Royal Hotel
660,Ushibuka,JP,61.63,light rain,32.1906,130.0228,Hotei
665,Wucheng,CN,66.0,clear sky,29.6008,118.175,Xiuwu Restaurant
666,San Juan Del Parana,PY,68.0,overcast clouds,-27.3,-55.9667,Del Sur Hotel - Museo
674,San Francisco,US,69.8,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
681,Port Hueneme,US,68.0,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
683,Havelock,US,66.99,moderate rain,34.8791,-76.9013,Sherwood Motel
685,Xinzhi,CN,61.63,clear sky,36.4989,111.7047,Mingyue Hotel
692,Abong Mbang,CM,69.44,overcast clouds,3.9833,13.1833,Auberge Angle Sur
695,Somerset West,ZA,62.01,clear sky,-34.084,18.8211,Lourens River Guesthouse BnB
707,Ryotsu,JP,60.8,moderate rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
709,Hitoyoshi,JP,62.6,light rain,32.2167,130.75,Ryokan Ayu-no-Sato
